Regioni;Latitudine;Longitudine
Abruzzo;42.21 N;13.24 E
Basilicata;40.38 N;15.49 E
Calabria;38.54 N;16.35 E
Campania;40.21 N;14.15 E
Emilia-Romagna;44.30 N;11.21 E
Friuli-Venezia Giulia;45.39 N;13.46 E
Lazio;41.54 N;12.29 E
Liguria;44.25 N;08.55 E
Lombardia;45.28 N;09.11 E
Marche;43.37 N;13.31 E
Molise;41.34 N;14.39 E
Piemonte;45.04 N;07.42 E
Puglia;41.07 N;16.53 E
Sardegna;39.13 N;09.07 E
Sicilia;38.07 N;13.21 E
Toscana;43.46 N;11.15 E
Trentino-Alto Adige;46.04 N;11.08 E
Umbria;43.07 N;12.24 E
Valle d'Aosta;45.44 N;07.19 E
Veneto;45.26 N;12.21 E
